client_id,ticker,sector,collateral_value_vnd,loan_vnd,ltv,exposure_vnd,margin_call_trigger,force_sell_trigger
C001,MBS,Securities,79000000000,30926220922.0,0.39147115091283174,30926220922.0,0.6,0.7
C002,BSI,Securities,52000000000,24036557435.0,0.4622414891265598,24036557435.0,0.6,0.7
C003,SHS,Securities,41000000000,17063388748.0,0.4161802133704905,17063388748.0,0.6,0.7
C004,HCM,Securities,5000000000,2664638067.0,0.5329276133672212,2664638067.0,0.6,0.7
C005,HCM,Securities,31000000000,9382029745.0,0.3026461208077467,9382029745.0,0.6,0.7
C006,CTS,Securities,14000000000,4975928627.0,0.35542347337486635,4975928627.0,0.6,0.7
C007,CTS,Securities,78000000000,43301590834.0,0.5551486004380483,43301590834.0,0.6,0.7
C008,HPG,Steel,31000000000,8916649229.0,0.2876338461092694,8916649229.0,0.6,0.7
C009,BSI,Securities,10000000000,5340905303.0,0.5340905303290044,5340905303.0,0.6,0.7
C010,CTS,Securities,56000000000,25358638515.0,0.4528328306234387,25358638515.0,0.6,0.7
C011,FTS,Securities,40000000000,11811028271.0,0.29527570677396686,11811028271.0,0.6,0.7
C012,BSI,Securities,72000000000,36880036636.0,0.5122227310551782,36880036636.0,0.6,0.7
C013,TCB,Banking,23000000000,10227932488.0,0.44469271685035733,10227932488.0,0.6,0.7
C014,TCB,Banking,46000000000,24413940663.0,0.5307378405101386,24413940663.0,0.6,0.7
C015,FTS,Securities,9000000000,4277208988.0,0.47524544307890493,4277208988.0,0.6,0.7
C016,CTS,Securities,71000000000,40445632384.0,0.5696567941469348,40445632384.0,0.6,0.7
C017,SHS,Securities,54000000000,20987810692.0,0.38866316096201947,20987810692.0,0.6,0.7
C018,MBS,Securities,43000000000,28385296573.0,0.6601231761203499,28385296573.0,0.6,0.7
C019,VND,Securities,31000000000,20753411832.0,0.6694648978187175,20753411832.0,0.6,0.7
C020,CTS,Securities,28000000000,8380482547.0,0.2993029480985173,8380482547.0,0.6,0.7
C021,HPG,Steel,66000000000,28279721207.0,0.428480624342716,28279721207.0,0.6,0.7
C022,VND,Securities,64000000000,37073821496.0,0.5792784608703349,37073821496.0,0.6,0.7
C023,VPB,Banking,14000000000,3659732423.0,0.26140945875407845,3659732423.0,0.6,0.7
C024,CTS,Securities,8000000000,4775657896.0,0.5969572369494865,4775657896.0,0.6,0.7
C025,TCB,Banking,36000000000,11302892639.0,0.313969239984693,11302892639.0,0.6,0.7
C026,SHS,Securities,61000000000,39739761561.0,0.6514715009992369,39739761561.0,0.6,0.7
C027,HCM,Securities,19000000000,11284402706.0,0.5939159319017047,11284402706.0,0.6,0.7
C028,HPG,Steel,7000000000,1573912168.0,0.22484459536973647,1573912168.0,0.6,0.7
C029,HPG,Steel,51000000000,10245401785.0,0.2008902310733616,10245401785.0,0.6,0.7
C030,VIX,Securities,56000000000,15957019343.0,0.2849467739902298,15957019343.0,0.6,0.7
C031,FTS,Securities,78000000000,35758663397.0,0.45844440252287466,35758663397.0,0.6,0.7
C032,FTS,Securities,56000000000,25661875070.0,0.4582477690994692,25661875070.0,0.6,0.7
C033,CTS,Securities,49000000000,21836821653.0,0.4456494214945686,21836821653.0,0.6,0.7
C034,VIX,Securities,39000000000,12333719866.0,0.31624922733167143,12333719866.0,0.6,0.7
C035,VND,Securities,75000000000,15222362263.0,0.2029648301728709,15222362263.0,0.6,0.7
C036,VPB,Banking,23000000000,12783584941.0,0.5558080409321068,12783584941.0,0.6,0.7
C037,VHM,Real estate,6000000000,2495149012.0,0.4158581686223837,2495149012.0,0.6,0.7
C038,VND,Securities,78000000000,48349313355.0,0.6198629917337255,48349313355.0,0.6,0.7
C039,VCI,Securities,77000000000,29701866360.0,0.3857385241619955,29701866360.0,0.6,0.7
C040,FTS,Securities,8000000000,1615975012.0,0.20199687652682177,1615975012.0,0.6,0.7
C041,BSI,Securities,32000000000,8653468129.0,0.2704208790307363,8653468129.0,0.6,0.7
C042,SHS,Securities,58000000000,12620841332.0,0.21760071261662287,12620841332.0,0.6,0.7
C043,MBS,Securities,53000000000,17524662209.0,0.33065400394663413,17524662209.0,0.6,0.7
C044,BSI,Securities,57000000000,18585296015.0,0.3260578248273277,18585296015.0,0.6,0.7
C045,CTS,Securities,14000000000,6894135880.0,0.4924382771478721,6894135880.0,0.6,0.7
C046,HCM,Securities,78000000000,21152155041.0,0.27118147488344074,21152155041.0,0.6,0.7
C047,HCM,Securities,38000000000,11388362073.0,0.2996937387659967,11388362073.0,0.6,0.7
C048,FTS,Securities,73000000000,39873508862.0,0.5462124501580083,39873508862.0,0.6,0.7
C049,HCM,Securities,60000000000,19706533190.0,0.3284422198334387,19706533190.0,0.6,0.7
C050,VND,Securities,43000000000,12416249619.0,0.2887499911357042,12416249619.0,0.6,0.7
C051,SSI,Securities,17000000000,10012512931.0,0.5889713489090964,10012512931.0,0.6,0.7
C052,VND,Securities,45000000000,10966331277.0,0.24369625060460676,10966331277.0,0.6,0.7
C053,VND,Securities,61000000000,15996727086.0,0.26224142764585895,15996727086.0,0.6,0.7
C054,SHS,Securities,65000000000,34203419146.0,0.526206448406833,34203419146.0,0.6,0.7
C055,VHM,Real estate,30000000000,12474202705.0,0.4158067568383573,12474202705.0,0.6,0.7
C056,HPG,Steel,18000000000,6966689216.0,0.3870382897696827,6966689216.0,0.6,0.7
C057,HPG,Steel,7000000000,3623801710.0,0.517685958545729,3623801710.0,0.6,0.7
C058,HPG,Steel,37000000000,7586187562.0,0.20503209628359542,7586187562.0,0.6,0.7
C059,CTS,Securities,79000000000,25716802931.0,0.32552915102805147,25716802931.0,0.6,0.7
C060,CTS,Securities,34000000000,19076496259.0,0.5610734193929219,19076496259.0,0.6,0.7
C061,TCB,Banking,35000000000,22749802561.0,0.6499943588836795,22749802561.0,0.6,0.7
C062,BSI,Securities,47000000000,24643445313.0,0.5243286236835335,24643445313.0,0.6,0.7
C063,HCM,Securities,42000000000,18449190785.0,0.43926644725353975,18449190785.0,0.6,0.7
C064,VND,Securities,16000000000,9154516553.0,0.5721572845423679,9154516553.0,0.6,0.7
C065,VHM,Real estate,47000000000,22147570126.0,0.4712248962900984,22147570126.0,0.6,0.7
C066,CTS,Securities,44000000000,15216722689.0,0.34583460657848847,15216722689.0,0.6,0.7
C067,CTS,Securities,36000000000,15510388822.0,0.43084413393511584,15510388822.0,0.6,0.7
C068,HPG,Steel,57000000000,20019215431.0,0.35121430580583834,20019215431.0,0.6,0.7
C069,CTS,Securities,20000000000,4365013215.0,0.21825066076106334,4365013215.0,0.6,0.7
C070,VND,Securities,11000000000,5204051591.0,0.47309559914561333,5204051591.0,0.6,0.7
C071,VIX,Securities,75000000000,50487508673.0,0.6731667823084828,50487508673.0,0.6,0.7
C072,MBS,Securities,15000000000,5687272941.0,0.37915152938814295,5687272941.0,0.6,0.7
C073,HCM,Securities,45000000000,23683000446.0,0.5262888987982421,23683000446.0,0.6,0.7
C074,SSI,Securities,3000000000,775815892.0,0.25860529721546854,775815892.0,0.6,0.7
C075,HCM,Securities,33000000000,8067594836.0,0.24447257077460588,8067594836.0,0.6,0.7
C076,VPB,Banking,16000000000,8061082591.0,0.5038176619276551,8061082591.0,0.6,0.7
C077,VPB,Banking,50000000000,16741125699.0,0.33482251397548163,16741125699.0,0.6,0.7
C078,SSI,Securities,27000000000,8917389129.0,0.3302736714627261,8917389129.0,0.6,0.7
C079,HCM,Securities,35000000000,21955665549.0,0.6273047299717605,21955665549.0,0.6,0.7
C080,VPB,Banking,66000000000,19647158948.0,0.29768422648048,19647158948.0,0.6,0.7
C081,MBS,Securities,79000000000,26838901116.0,0.33973292551767864,26838901116.0,0.6,0.7
C082,HCM,Securities,60000000000,27760223735.0,0.4626703955790528,27760223735.0,0.6,0.7
C083,SSI,Securities,12000000000,6525834098.0,0.5438195081614886,6525834098.0,0.6,0.7
C084,VPB,Banking,54000000000,24235741309.0,0.44881002424208316,24235741309.0,0.6,0.7
C085,BSI,Securities,29000000000,16011465660.0,0.5521195055315733,16011465660.0,0.6,0.7
C086,VIX,Securities,30000000000,6849209342.0,0.22830697805947728,6849209342.0,0.6,0.7
C087,BSI,Securities,10000000000,4813909396.0,0.4813909395756984,4813909396.0,0.6,0.7
